Unnamed: 13,allowed_keys,date,expName,frameRate,img,limit_chars,participant,que,resp,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides3.jpg,"[1, 2]",11,age,24,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides4.jpg,"[3, 3]",11,sat,652,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides8.jpg,"[1, 1]",11,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides9.jpg,"[1, 1]",11,adhd,2,9,9,0,9
,[],2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides10.jpg,"[1, 140]",11,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides11.jpg,"[1, 1]",11,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides13.jpg,"[1, 1]",11,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1131,demog_exp,119.988165822,Slides\Slides12.jpg,"[1, 1]",11,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides1.jpg,"[0, 0]",12,intro,,0,0,0,0
,[],2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides0.jpg,"[1, 140]",12,debrief,רפסמה וא העונתה ןושאר םיספות םישנא המו הרטמב זכרתהלו םייוריגמ םלעתהל םילוכי םישנא םא הסיפתה תא קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides5.jpg,"[1, 1]",12,degree,1,2,2,0,2
,[],2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides6.jpg,"[1, 140]",12,faculty,היפוסוליפו היגולוכיספ ספיספ תינכת,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides7.jpg,"[1, 3]",12,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides2.jpg,"[1, 1]",12,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides3.jpg,"[1, 2]",12,age,19,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides4.jpg,"[3, 3]",12,sat,634,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides8.jpg,"[1, 1]",12,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides9.jpg,"[1, 1]",12,adhd,2,9,9,0,9
,[],2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides10.jpg,"[1, 140]",12,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides11.jpg,"[1, 1]",12,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides13.jpg,"[1, 1]",12,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_1159,demog_exp,120.038486518,Slides\Slides12.jpg,"[1, 1]",12,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides1.jpg,"[0, 0]",13,intro,,0,0,0,0
,[],2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides0.jpg,"[1, 140]",13,debrief, זוכיר לש תוערפה שי םא תוארל ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides5.jpg,"[1, 1]",13,degree,1,2,2,0,2
,[],2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides6.jpg,"[1, 140]",13,faculty,דחוימ ךוניחו היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides7.jpg,"[1, 3]",13,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides2.jpg,"[1, 1]",13,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides3.jpg,"[1, 2]",13,age,19,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides4.jpg,"[3, 3]",13,sat,600,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides8.jpg,"[1, 1]",13,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides9.jpg,"[1, 1]",13,adhd,2,9,9,0,9
,[],2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides10.jpg,"[1, 140]",13,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides11.jpg,"[1, 1]",13,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides13.jpg,"[1, 1]",13,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1621,demog_exp,119.902317323,Slides\Slides12.jpg,"[1, 1]",13,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides1.jpg,"[0, 0]",14,intro,,0,0,0,0
,[],2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides0.jpg,"[1, 140]",14,debrief,ךסמה לע םיאורש הממ םלעתהלו המישמל וטנ סחייתהל םילוכי ונחנא םאה קודבל ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides5.jpg,"[1, 1]",14,degree,1,2,2,0,2
,[],2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides6.jpg,"[1, 140]",14,faculty,תונוכמ תסדנה,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides7.jpg,"[1, 3]",14,gpa,81,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides2.jpg,"[1, 1]",14,sex,2,5,5,0,5
